ImageNumber,ObjectNumber,FileName_Mask,FileName_try,PathName_Mask,PathName_try,Intensity_IntegratedIntensityEdge_try,Intensity_IntegratedIntensity_try,Intensity_LowerQuartileIntensity_try,Intensity_MADIntensity_try,Intensity_MassDisplacement_try,Intensity_MaxIntensityEdge_try,Intensity_MaxIntensity_try,Intensity_MeanIntensityEdge_try,Intensity_MeanIntensity_try,Intensity_MedianIntensity_try,Intensity_MinIntensityEdge_try,Intensity_MinIntensity_try,Intensity_StdIntensityEdge_try,Intensity_StdIntensity_try,Intensity_UpperQuartileIntensity_try,Location_CenterMassIntensity_X_try,Location_CenterMassIntensity_Y_try,Location_CenterMassIntensity_Z_try,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_try,Location_MaxIntensity_Y_try,Location_MaxIntensity_Z_try,Number_Object_Number
4,1303,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,0.9802853465080261,0.9802853465080261,0.11299305781722069,0.13565270602703094,0.24806988784813558,0.3850614130496979,0.3850614130496979,0.1960570693016052,0.1960570693016052,0.21663233637809753,0.07792782783508301,0.07792782783508301,0.11281401170208244,0.11281401170208244,0.3471427448093891,591.8800958917661,490.1652164456799,0.0,591.8,490.4,0,592.0,490.0,0.0,1303
4,1304,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,10.288532924838364,32.3984283846803,0.08595407195389271,0.07132066786289215,0.3201135966233861,0.5218738317489624,0.5218738317489624,0.16594407943287684,0.16445902733340254,0.14620432257652283,0.0120241092517972,0.0013122758828103542,0.11487392764815874,0.10717717271792838,0.23137254640460014,1478.4115152911277,488.1113656522968,0.0,1478.7309644670052,488.1319796954315,0,1472.0,487.0,0.0,1304
4,1305,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,10.771343525499105,46.52817576751113,0.11839475110173225,0.07758449763059616,0.16260678973038786,0.49919891357421875,0.7635156512260437,0.18897093904384396,0.21641011984888897,0.19193560630083084,0.02511635050177574,0.004577706567943096,0.10937816120984718,0.13288257086985764,0.2849584221839905,1707.4354701472366,491.45083995578824,0.0,1707.3023255813953,491.54418604651164,0,1701.0,488.0,0.0,1305
4,1306,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,31.86793320812285,150.45894601009786,0.2336423322558403,0.06073853373527527,0.2766048209031012,0.6560158729553223,0.6982681155204773,0.2845351179296683,0.3102246309486554,0.3335927426815033,0.024750133976340294,0.02226291224360466,0.12102944185656432,0.12443562078917139,0.3708133026957512,1990.5743868379443,487.6032675177101,0.0,1990.298969072165,487.62886597938143,0,2012.0,487.0,0.0,1306
4,1307,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,14.837216686690226,60.95602332870476,0.10125505551695824,0.10659952461719513,1.6145066908932528,0.5694819688796997,0.7139849066734314,0.21503212589406126,0.22165826664983548,0.2003128081560135,0.0011139085981994867,0.0011139085981994867,0.14922996103250863,0.15471356932945687,0.31430534273386,2404.7917348094884,482.6083089534489,0.0,2406.0836363636363,481.64,0,2406.0,484.0,0.0,1307
4,1308,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,3.180926263332367,7.417685236781836,0.08940260857343674,0.05899138003587723,0.22136128128156282,0.3761501610279083,0.3761501610279083,0.1674171717543351,0.16858375538140535,0.1436789482831955,0.0316166952252388,0.0316166952252388,0.09551021159019048,0.09592637335575009,0.2402532994747162,245.76342575798282,491.8299137272085,0.0,245.97727272727272,491.77272727272725,0,245.0,495.0,0.0,1308
4,1309,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,14.220721766352654,135.6073552891612,0.34518197178840637,0.29834437370300293,0.1206798914811404,0.7811398506164551,1.0,0.2962650367990136,0.6220520884823908,0.6231937408447266,0.052887771278619766,0.052887771278619766,0.15554233733606054,0.3005289995091621,0.9511558711528778,1140.8797036573212,491.7564411940936,0.0,1141.0,491.76605504587155,0,1142.0,491.0,0.0,1309
4,1310,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,7.60093083139509,26.668650351231918,0.10521095246076584,0.0637521892786026,0.4875654273702095,0.32312503457069397,0.45040056109428406,0.14617174675759786,0.1666790646951995,0.15547417104244232,0.007248035632073879,0.0013580529484897852,0.07631373597896042,0.09622857135247104,0.2240634709596634,271.6745916195122,490.6543007218794,0.0,271.38125,491.04375,0,270.0,493.0,0.0,1310
4,1311,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,6.299916110001504,32.36908529046923,0.11444647796452045,0.0636453814804554,0.3971617511725492,0.4156557619571686,0.4428626000881195,0.13695469804351096,0.18287618808174705,0.17852292954921722,0.01516746822744608,0.01516746822744608,0.0850968525035191,0.09353185719589846,0.24071107059717178,1498.5484705652166,493.6213176072672,0.0,1498.1694915254238,493.7401129943503,0,1500.0,498.0,0.0,1311
4,1312,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,19.206912267021835,88.0738229425624,0.1669413298368454,0.13185320794582367,0.43525276952887415,0.6105897426605225,0.772945761680603,0.25272252982923465,0.30903095769320144,0.3058976083993912,0.01507591363042593,0.00238040741533041,0.14356805179870247,0.16991551330385504,0.43149080872535706,1952.1643079453347,496.52742052573217,0.0,1951.9052631578948,496.87719298245617,0,1946.0,495.0,0.0,1312
